respondent_id,wording_arm,question_wording,age_band,gender,digital_confidence_z,likelihood_1_5,item_missing,survey_completed,completion_seconds
R0042,Neutral,How likely are you to use the council's new online services?,55+,Woman,0.224,3.0,0,1,181
R0043,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",35-54,Woman,-0.081,3.0,0,1,184
R0044,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",18-34,Man,-0.381,3.0,0,1,232
R0045,Neutral,How likely are you to use the council's new online services?,18-34,Woman,0.11,4.0,0,1,197
R0046,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",35-54,Man,-1.041,3.0,0,1,168
R0047,Neutral,How likely are you to use the council's new online services?,18-34,Man,0.304,3.0,0,1,245
R0048,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",35-54,Woman,1.022,2.0,0,1,238
R0049,Neutral,How likely are you to use the council's new online services?,55+,Woman,-0.432,3.0,0,1,248
R0050,Neutral,How likely are you to use the council's new online services?,35-54,Woman,0.115,3.0,0,1,240
R0051,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",55+,Woman,-0.434,4.0,0,1,195
R0052,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Man,-0.5,2.0,0,1,170
R0053,Neutral,How likely are you to use the council's new online services?,35-54,Woman,0.819,2.0,0,1,224
R0054,Neutral,How likely are you to use the council's new online services?,55+,Woman,-2.365,1.0,0,1,311
R0055,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",55+,Woman,-1.253,,1,0,261
R0056,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Woman,-0.672,1.0,0,1,222
R0057,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",55+,Woman,-0.901,1.0,0,1,236
R0058,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Woman,-0.083,,1,1,195
R0059,Neutral,How likely are you to use the council's new online services?,18-34,Woman,0.734,4.0,0,1,276
R0060,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Woman,0.954,3.0,0,1,154
R0061,Neutral,How likely are you to use the council's new online services?,55+,Woman,-0.07,2.0,0,1,163
R0062,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",18-34,Man,-0.349,3.0,0,1,247
R0063,Neutral,How likely are you to use the council's new online services?,35-54,Man,-0.228,3.0,0,1,203
R0064,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",18-34,Man,1.528,3.0,0,1,236
R0065,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Man,0.12,1.0,0,1,201
R0066,Neutral,How likely are you to use the council's new online services?,18-34,Woman,0.75,3.0,0,1,272
R0067,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",18-34,Man,0.323,2.0,0,1,222
R0068,Neutral,How likely are you to use the council's new online services?,55+,Woman,-0.121,4.0,0,1,122
R0069,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Woman,-0.767,1.0,0,1,218
R0070,Neutral,How likely are you to use the council's new online services?,35-54,Woman,0.184,3.0,0,1,129
R0071,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Man,-1.837,2.0,0,1,248
R0072,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Man,-0.847,1.0,0,1,286
R0073,Neutral,How likely are you to use the council's new online services?,18-34,Man,0.106,3.0,0,1,116
R0074,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",18-34,Woman,0.754,,1,1,246
R0075,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",35-54,Man,-0.762,2.0,0,1,162
R0076,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Woman,0.706,5.0,0,1,432
R0077,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",55+,Woman,0.638,5.0,0,1,106
R0078,Neutral,How likely are you to use the council's new online services?,55+,Man,-2.5,2.0,0,0,226
R0079,Neutral,How likely are you to use the council's new online services?,55+,Man,-0.501,2.0,0,1,317
R0080,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",35-54,Man,-0.694,4.0,0,1,324
R0081,Neutral,How likely are you to use the council's new online services?,35-54,Non-binary / self-describe,0.737,3.0,0,1,232
R0082,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Woman,-0.045,2.0,0,1,248
R0083,Neutral,How likely are you to use the council's new online services?,55+,Woman,-1.393,1.0,0,1,161
R0084,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Man,0.546,5.0,0,1,216
R0085,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",55+,Woman,-2.069,3.0,0,1,212
R0086,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",35-54,Man,-0.296,2.0,0,1,137
R0087,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Man,0.143,4.0,0,1,181
R0088,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",55+,Woman,-0.552,4.0,0,1,374
R0089,Neutral,How likely are you to use the council's new online services?,35-54,Man,0.222,4.0,0,1,242
R0090,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Woman,-0.493,3.0,0,1,270
R0091,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",35-54,Man,-0.251,2.0,0,1,283
R0092,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Man,0.563,1.0,0,1,221
R0093,Neutral,How likely are you to use the council's new online services?,35-54,Woman,-1.548,,1,0,196
R0094,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Man,0.937,2.0,0,1,228
R0095,Neutral,How likely are you to use the council's new online services?,55+,Man,-0.914,1.0,0,1,154
R0096,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Woman,-0.979,,1,0,169
R0097,Neutral,How likely are you to use the council's new online services?,18-34,Woman,-0.946,2.0,0,1,125
R0098,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Woman,1.156,,1,1,172
R0099,Neutral,How likely are you to use the council's new online services?,35-54,Man,-0.068,3.0,0,1,174
R0100,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Woman,0.873,3.0,0,1,218
R0101,Neutral,How likely are you to use the council's new online services?,55+,Non-binary / self-describe,-0.859,,1,1,129
R0102,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Man,0.223,2.0,0,1,303
R0103,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",55+,Woman,-0.366,4.0,0,1,193
R0104,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Woman,-1.352,2.0,0,1,318
R0105,Neutral,How likely are you to use the council's new online services?,35-54,Man,-0.856,3.0,0,1,218
R0106,Neutral,How likely are you to use the council's new online services?,18-34,Man,0.913,1.0,0,1,383
R0107,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Woman,1.935,4.0,0,1,228
R0108,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Woman,1.108,3.0,0,1,202
R0109,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",55+,Woman,-2.046,2.0,0,1,139
R0110,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Woman,0.41,2.0,0,1,184
R0111,Neutral,How likely are you to use the council's new online services?,18-34,Woman,1.698,4.0,0,1,251
R0112,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Man,2.5,5.0,0,1,287
R0113,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Man,-0.521,3.0,0,1,194
R0114,Neutral,How likely are you to use the council's new online services?,18-34,Woman,-0.26,2.0,0,1,318
R0115,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",35-54,Man,-0.773,4.0,0,1,124
R0116,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Woman,1.41,3.0,0,1,331
R0117,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Woman,0.125,5.0,0,1,515
R0118,Neutral,How likely are you to use the council's new online services?,55+,Woman,-1.424,2.0,0,1,292
R0119,Neutral,How likely are you to use the council's new online services?,35-54,Woman,-0.21,3.0,0,1,224
R0120,Neutral,How likely are you to use the council's new online services?,18-34,Man,0.224,1.0,0,1,176
R0121,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",35-54,Man,-0.001,3.0,0,1,95
R0122,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",18-34,Woman,0.286,4.0,0,1,149
R0123,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",35-54,Woman,0.254,3.0,0,1,243
R0124,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Man,0.329,2.0,0,1,200
R0125,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",18-34,Woman,-0.899,,1,1,223
R0126,Neutral,How likely are you to use the council's new online services?,55+,Man,-0.241,3.0,0,1,245
R0127,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Man,-0.339,3.0,0,1,244
R0128,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Non-binary / self-describe,0.98,3.0,0,1,215
R0129,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Man,0.554,4.0,0,1,361
R0130,Neutral,How likely are you to use the council's new online services?,35-54,Woman,-0.298,2.0,0,1,171
R0131,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Man,-0.069,4.0,0,1,328
R0132,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",18-34,Man,-0.025,4.0,0,1,267
R0133,Neutral,How likely are you to use the council's new online services?,18-34,Man,1.425,5.0,0,1,211
R0134,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",18-34,Man,0.135,2.0,0,1,308
R0135,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Woman,0.709,2.0,0,1,206
R0136,Neutral,How likely are you to use the council's new online services?,55+,Woman,-0.86,4.0,0,1,358
R0137,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Woman,0.954,2.0,0,1,124
R0138,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Man,-0.531,2.0,0,1,368
R0139,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",55+,Man,-1.135,2.0,0,1,140
R0140,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Man,-1.047,1.0,0,1,531
R0141,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Woman,-0.563,2.0,0,1,198
R0142,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",18-34,Woman,-0.518,4.0,0,1,255
R0143,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Woman,0.918,4.0,0,1,191
R0144,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Man,-0.287,2.0,0,1,252
R0145,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",18-34,Woman,1.884,5.0,0,1,188
R0146,Neutral,How likely are you to use the council's new online services?,35-54,Man,0.366,4.0,0,1,230
R0147,Neutral,How likely are you to use the council's new online services?,55+,Man,-0.554,3.0,0,1,209
R0148,Neutral,How likely are you to use the council's new online services?,18-34,Man,0.171,4.0,0,1,192
R0149,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Man,1.006,2.0,0,1,220
R0150,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",18-34,Man,1.845,4.0,0,1,195
R0151,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",55+,Man,0.514,1.0,0,1,137
R0152,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",35-54,Man,0.895,3.0,0,1,263
R0153,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Woman,-0.04,1.0,0,1,288
R0154,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Woman,0.708,3.0,0,1,420
R0155,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Woman,0.514,3.0,0,1,179
R0156,Neutral,How likely are you to use the council's new online services?,35-54,Man,1.101,4.0,0,0,184
R0157,Neutral,How likely are you to use the council's new online services?,35-54,Woman,0.668,3.0,0,1,215
R0158,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Woman,1.033,5.0,0,1,232
R0159,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Woman,0.352,4.0,0,1,205
R0160,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Man,0.995,4.0,0,1,133
R0161,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",55+,Man,0.547,5.0,0,1,194
R0162,Neutral,How likely are you to use the council's new online services?,55+,Woman,-1.059,4.0,0,1,173
R0163,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",18-34,Man,1.008,5.0,0,1,247
R0164,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",35-54,Man,0.889,4.0,0,1,143
R0165,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",55+,Woman,0.173,5.0,0,1,145
R0166,Neutral,How likely are you to use the council's new online services?,18-34,Man,0.567,2.0,0,1,315
R0167,Neutral,How likely are you to use the council's new online services?,35-54,Woman,-0.312,3.0,0,1,173
R0168,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Man,1.518,3.0,0,1,178
R0169,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",18-34,Woman,0.661,3.0,0,1,227
R0170,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Woman,-0.234,2.0,0,1,185
R0171,Neutral,How likely are you to use the council's new online services?,55+,Woman,-1.187,3.0,0,1,236
R0172,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",55+,Woman,-1.58,2.0,0,1,168
R0173,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Woman,-0.428,3.0,0,1,357
R0174,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Man,-0.069,3.0,0,1,173
R0175,Neutral,How likely are you to use the council's new online services?,55+,Man,-1.957,2.0,0,1,254
R0176,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Man,-0.267,1.0,0,1,405
R0177,Neutral,How likely are you to use the council's new online services?,55+,Woman,0.059,4.0,0,1,288
R0178,Neutral,How likely are you to use the council's new online services?,55+,Man,0.498,3.0,0,1,183
R0179,Neutral,How likely are you to use the council's new online services?,55+,Man,0.74,4.0,0,1,429
R0180,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",35-54,Man,1.505,4.0,0,1,135
R0181,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Non-binary / self-describe,-0.659,1.0,0,1,171
R0182,Neutral,How likely are you to use the council's new online services?,18-34,Woman,0.384,4.0,0,1,196
R0183,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",55+,Man,0.353,3.0,0,1,244
R0184,Neutral,How likely are you to use the council's new online services?,18-34,Man,0.62,5.0,0,1,251
R0185,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Woman,-0.291,3.0,0,1,261
R0186,Neutral,How likely are you to use the council's new online services?,18-34,Woman,0.204,4.0,0,1,323
R0187,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Man,-1.498,4.0,0,1,167
R0188,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Woman,-2.433,3.0,0,1,194
R0189,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",35-54,Woman,-1.764,3.0,0,1,204
R0190,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Woman,-0.373,3.0,0,1,216
R0191,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",18-34,Woman,-0.276,4.0,0,1,110
R0192,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",35-54,Woman,1.218,4.0,0,1,220
R0193,Neutral,How likely are you to use the council's new online services?,18-34,Man,0.352,2.0,0,1,140
R0194,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",35-54,Woman,0.452,4.0,0,1,289
R0195,Neutral,How likely are you to use the council's new online services?,18-34,Woman,0.551,3.0,0,1,120
R0196,Neutral,How likely are you to use the council's new online services?,55+,Woman,0.377,5.0,0,1,385
R0197,Neutral,How likely are you to use the council's new online services?,18-34,Woman,0.153,1.0,0,1,122
R0198,Neutral,How likely are you to use the council's new online services?,35-54,Woman,-0.625,1.0,0,1,157
R0199,Neutral,How likely are you to use the council's new online services?,35-54,Woman,-0.205,3.0,0,1,122
R0200,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",55+,Man,-0.506,3.0,0,1,274
R0201,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Woman,-0.082,2.0,0,1,247
R0202,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",18-34,Man,1.958,5.0,0,1,199
R0203,Neutral,How likely are you to use the council's new online services?,35-54,Man,0.085,3.0,0,1,119
R0204,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Woman,-0.189,1.0,0,1,279
R0205,Neutral,How likely are you to use the council's new online services?,55+,Man,-1.369,2.0,0,1,158
R0206,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",35-54,Man,2.18,4.0,0,1,243
R0207,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Man,-1.373,2.0,0,1,176
R0208,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Woman,0.912,3.0,0,0,199
R0209,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Woman,-0.463,2.0,0,1,201
R0210,Neutral,How likely are you to use the council's new online services?,18-34,Man,-1.242,1.0,0,1,256
R0211,Neutral,How likely are you to use the council's new online services?,18-34,Man,-0.719,3.0,0,1,254
R0212,Neutral,How likely are you to use the council's new online services?,35-54,Man,0.472,4.0,0,1,241
R0213,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Woman,-0.043,3.0,0,1,280
R0214,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",55+,Man,-1.096,2.0,0,1,164
R0215,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Man,0.27,3.0,0,1,290
R0216,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",55+,Woman,-2.079,4.0,0,1,145
R0217,Neutral,How likely are you to use the council's new online services?,18-34,Woman,0.795,5.0,0,1,254
R0218,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",55+,Woman,-0.642,3.0,0,1,153
R0219,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",18-34,Man,-0.979,4.0,0,1,196
R0220,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",55+,Man,-0.423,3.0,0,1,208
R0221,Neutral,How likely are you to use the council's new online services?,35-54,Man,2.207,5.0,0,1,171
R0222,Neutral,How likely are you to use the council's new online services?,18-34,Man,-0.254,4.0,0,1,175
R0223,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",18-34,Woman,-1.648,3.0,0,1,135
R0224,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Man,-0.985,3.0,0,1,188
R0225,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Man,-0.017,2.0,0,1,256
R0226,Neutral,How likely are you to use the council's new online services?,18-34,Man,2.199,3.0,0,1,156
R0227,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",35-54,Man,-0.693,3.0,0,1,220
R0228,Neutral,How likely are you to use the council's new online services?,55+,Woman,0.438,4.0,0,1,190
R0229,Neutral,How likely are you to use the council's new online services?,18-34,Woman,-0.899,3.0,0,1,186
R0230,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",35-54,Man,-0.299,5.0,0,1,182
R0231,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",35-54,Man,-1.312,2.0,0,1,116
R0232,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",55+,Woman,-1.019,5.0,0,1,142
R0233,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Man,1.697,3.0,0,1,224
R0234,Neutral,How likely are you to use the council's new online services?,55+,Woman,1.68,4.0,0,1,264
R0235,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Woman,-1.003,2.0,0,0,159
R0236,Neutral,How likely are you to use the council's new online services?,18-34,Woman,0.889,3.0,0,1,158
R0237,Neutral,How likely are you to use the council's new online services?,55+,Woman,-0.113,4.0,0,1,111
R0238,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Woman,0.439,3.0,0,1,319
R0239,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Woman,-1.835,4.0,0,1,245
R0240,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",55+,Man,-1.0,2.0,0,1,190
R0241,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Woman,0.658,5.0,0,1,190
R0242,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Man,0.375,2.0,0,1,392
R0243,Neutral,How likely are you to use the council's new online services?,18-34,Woman,0.287,4.0,0,1,252
R0244,Neutral,How likely are you to use the council's new online services?,55+,Man,-1.618,3.0,0,1,132
R0245,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Woman,0.818,4.0,0,1,323
R0246,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Woman,-1.486,3.0,0,1,207
R0247,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",18-34,Woman,1.539,4.0,0,1,180
R0248,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",55+,Man,-0.118,3.0,0,1,200
R0249,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Man,0.799,3.0,0,1,260
R0250,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Man,1.546,4.0,0,1,222
R0251,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",55+,Woman,-0.733,3.0,0,1,246
R0252,Neutral,How likely are you to use the council's new online services?,55+,Man,-0.758,3.0,0,1,218
R0253,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",55+,Man,-1.934,3.0,0,1,211
R0254,Effort-framed,"How likely are you to use the council's new online services, even if setup takes a few minutes?",35-54,Woman,1.628,3.0,0,1,253
R0255,Benefit-framed,"How likely are you to use the council's new online services, which can save residents time?",35-54,Man,0.496,2.0,0,1,248
